plat_no,slot_number,reg_date
S995831CMK,650,2020-01-08 10:17:42
J198020ATX,548,2020-04-04 19:00:03
O562689MPZ,374,2020-11-14 20:48:46
Q604443XSL,788,2020-07-13 21:36:37
L976584HPQ,174,2020-03-22 16:12:40
G236660OIN,632,2020-11-04 20:51:58
O569191UOX,268,2020-02-11 06:31:31
F518372IEY,665,2020-06-05 18:21:20
C489876ZUG,260,2020-01-05 05:11:59
H621434BUK,430,2020-02-02 21:52:03
B531883MQR,297,2020-05-30 21:02:14
Y347602BUD,741,2020-11-11 15:27:38
H440706ZWN,602,2020-01-06 02:47:40
R231805ZGO,363,2020-07-21 09:54:01
Z488726XOS,458,2020-06-21 22:40:26
S112809ICZ,201,2020-04-09 00:54:49
I426447DPE,461,2020-07-16 06:53:05
O794995BQK,940,2020-05-02 08:55:14
M655931ATM,863,2020-09-22 04:05:45
Z321468JGY,744,2020-03-04 01:11:24
K433453SCV,70,2020-09-24 00:14:55
G229506GMD,587,2020-02-10 04:30:09
A392126AMQ,54,2020-11-21 19:08:39
Q480831TEB,34,2020-02-17 06:45:59
K897885FHV,177,2020-01-20 22:25:04
E811334NZN,446,2020-12-02 03:09:52
N703769FSD,703,2020-01-05 10:04:29
M489313QRH,270,2020-05-13 06:42:23
F739615WYY,863,2020-08-10 10:37:01
M648946TYW,823,2020-01-18 05:04:04
B533153KGC,969,2020-08-07 01:20:58
M373549CNM,962,2020-02-23 01:32:04
K287623MXN,364,2020-03-22 02:55:17
D832812TFK,335,2020-05-19 13:13:10
Y785366EPB,339,2020-07-25 15:02:16
F769503VTX,57,2020-08-11 08:48:55
E560623MSQ,891,2020-08-30 07:21:33
O302493QCC,990,2020-05-18 02:22:04
C166559ZIM,227,2020-05-13 16:08:18
N103070JPI,628,2020-01-29 15:42:13
Q599521YGC,377,2020-09-12 22:44:42
Y251384OGO,825,2020-12-25 14:42:48
S430305DZD,670,2020-02-24 23:44:24
D191314XTK,702,2020-10-17 05:24:19
L535655XCA,592,2020-11-28 13:46:32
I722854LDG,487,2020-12-14 08:36:07
Y684566PPK,249,2020-02-01 18:54:28
T743179VQO,395,2020-05-14 18:56:03
H885360BFT,103,2020-03-24 14:48:54
P856237IKZ,153,2020-11-14 14:35:49
X863072ZGI,32,2020-06-11 06:44:06
B241648RSF,353,2020-05-31 07:34:50
W442291PBI,844,2020-08-17 19:18:07
O623173ASX,448,2020-01-09 17:46:22
X373067WEN,68,2020-03-01 02:45:17
A964023CZB,386,2020-10-05 18:27:57
S570332UDZ,87,2020-10-20 01:10:39
S677350LOK,994,2020-08-01 18:09:09
Y166322BYV,420,2020-02-12 16:58:44
C851472GBU,334,2020-12-31 11:58:30
X413802XJI,533,2020-04-05 18:17:25
O933025ENU,266,2020-07-17 20:17:36
F610468FWQ,954,2020-11-21 08:09:45
P219678UPV,924,2020-01-29 10:43:30
P846699BTK,833,2020-02-15 16:38:15
H787149GBC,847,2020-12-24 05:05:09
U547468IFS,340,2020-10-14 03:16:56
B160672ZIP,315,2020-10-27 16:58:54
A120531WJX,716,2020-10-09 17:47:27
K972395EFM,331,2020-10-14 01:22:26
M332321NKO,767,2020-01-22 00:38:01
L483116CJW,301,2020-06-24 10:09:43
X908111VOD,837,2020-01-26 23:45:37
E751730VAU,39,2020-10-06 00:45:28
P653258TFI,148,2020-11-16 13:37:11
I918245KIV,329,2020-03-06 09:56:01
Q871004IOS,480,2020-12-04 02:36:51
U923799LFV,940,2020-12-08 14:07:22
F579096WTH,634,2020-11-16 12:55:46
G764034ARN,835,2020-11-24 07:06:36
W381977NZR,632,2020-07-27 22:59:55
W918659OGZ,470,2020-10-14 11:57:56
M787338MUI,788,2020-01-09 02:37:13
T349520ZTX,748,2020-04-25 08:07:56
N966995KSE,926,2020-03-30 01:32:15
S937094KUS,950,2020-07-23 08:43:54
G589414PZC,751,2020-08-25 01:07:21
U507150GEV,344,2020-04-27 20:49:55
M540225FJL,604,2020-08-18 11:02:45
C263539CAW,779,2020-09-01 05:50:10
T418648SBY,181,2020-06-25 06:55:43
X953689SMM,460,2020-11-05 00:31:54
K774728XYK,438,2020-04-06 14:36:54
F910844ZBR,572,2020-03-22 16:17:29
A705991WVG,210,2020-02-09 00:00:22
C811710OFQ,388,2020-10-05 00:29:58
B101093BIA,891,2020-09-07 09:40:37
U882723XSJ,378,2020-05-04 23:19:41
D585910HNU,365,2020-09-21 19:39:31
W769262YUV,103,2020-10-12 18:41:47
Y901112IXO,341,2020-05-17 14:28:01
C476934ABG,806,2020-06-24 08:28:29
G663217WIE,386,2020-07-24 00:03:06
Y919419JZW,444,2020-08-31 17:04:27
L101171FRP,500,2020-08-30 06:01:12
B364537SNS,327,2020-12-20 14:40:40
M941052CWT,591,2020-09-07 16:55:59
K138283KJG,252,2020-02-28 17:04:11
S624125HAN,294,2020-06-11 20:08:23
N261914LQT,900,2020-11-08 10:04:49
S409493HTC,985,2020-06-29 16:42:47
L409317XGM,695,2020-03-21 13:18:32
P956062OOP,11,2020-03-21 06:31:56
H402463YZS,534,2020-08-13 19:29:55
X666165CPE,31,2020-07-27 22:41:08
G302456RRH,189,2020-08-17 08:24:07
V396923XXJ,919,2020-07-24 06:48:01
V163898VIG,763,2020-11-01 08:46:21
C168727DSA,302,2020-10-03 19:38:00
M871020QZB,922,2020-12-12 12:19:56
H822600IPQ,701,2020-03-12 22:15:56
K230841VBA,445,2020-01-02 13:41:52
N855061CEK,197,2020-06-19 16:29:38
Z107109HRW,787,2020-08-04 10:16:59
W421769HSZ,575,2020-02-22 20:39:48
W385868HFO,720,2020-12-23 08:43:04
Y314350NOF,811,2020-06-20 19:20:21
K821276LWM,725,2020-09-17 22:30:25
O906187JGR,369,2020-06-29 21:51:45
J637688DLA,620,2020-04-10 21:43:48
K142988MOZ,184,2020-04-25 03:06:51
G818534SJL,176,2020-09-11 09:06:50
J690129XWJ,687,2020-02-02 22:19:21
K865212EHW,70,2020-10-08 08:13:03
U297439SJC,67,2020-12-20 09:42:52
D166667YIL,978,2020-03-27 15:44:58
G402779XFH,958,2020-12-02 06:02:11
Q501976CNQ,243,2020-03-11 08:04:05
Q556929JMH,317,2020-03-16 10:09:14
I565632BJI,141,2020-04-28 01:24:49
K445801WJZ,175,2020-12-31 02:13:43
Y107617REU,153,2020-01-28 12:38:45
Q427543JON,794,2020-04-29 20:38:27
A430160BCM,634,2020-02-15 10:56:57
Q284474FCE,8,2020-09-12 11:28:42
H783870RND,666,2020-04-20 23:54:16
H624563FRF,494,2020-07-13 15:57:03
N687863FYT,892,2020-03-07 01:44:43
R764011EQX,336,2020-11-07 14:37:29
M937335QXC,970,2020-08-04 10:36:45
P735229EWT,263,2020-09-03 09:54:36
A611136JWI,134,2020-10-30 01:24:55
V521831KDF,872,2020-11-26 08:18:36
B852580FNW,27,2020-01-04 01:23:20
Y870485ZZU,921,2020-12-30 02:21:53
F451641JPK,942,2020-03-21 22:35:19
G700983YFB,308,2020-04-15 08:12:59
J176502POY,637,2020-07-09 18:41:01
G210754DHQ,874,2020-02-05 05:09:03
E123393IYN,191,2020-09-12 03:06:51
E800837HGG,478,2020-10-26 14:20:36
W796479YRY,61,2020-08-02 16:39:23
B182885XER,223,2020-08-08 06:27:16
Z430253YAT,342,2020-08-21 08:55:54
O957532MWR,948,2020-08-17 16:07:23
G656053WBG,154,2020-03-29 09:51:43
H879200LDK,122,2020-06-15 05:17:58
A837460HUC,303,2020-08-05 09:32:39
P913258MHR,511,2020-10-05 12:46:33
R152564JPU,892,2020-10-15 06:37:02
R280941TST,325,2020-11-18 19:26:20
B620390RGH,952,2020-12-31 23:00:07
M531652ZNS,991,2020-08-30 01:57:14
F611900BHY,970,2020-06-23 11:33:10
C813665HSZ,366,2020-08-04 01:45:14
O943156QBD,564,2020-12-04 10:16:37
G493865RZO,715,2020-04-21 00:24:52
X917771JWE,574,2020-03-19 16:53:06
H471262JBQ,836,2020-04-25 03:49:05
A671326WWP,684,2020-04-13 19:27:16
O139972JFA,388,2020-08-25 10:27:10
P772352IQY,431,2020-01-13 17:48:16
T309745NSS,497,2020-02-16 07:32:24
N228635MVS,315,2020-10-27 10:28:59
H311936MYB,494,2020-10-14 18:06:57
N670871CBQ,335,2020-04-26 16:39:39
G596911ULF,481,2020-06-25 04:38:29
V527148ZTS,434,2020-12-29 02:03:21
H188635SNL,829,2020-04-21 13:19:57
R140193IPP,348,2020-12-18 11:19:46
P968698UPP,246,2020-10-11 18:11:33
T752447MUA,628,2020-01-02 14:14:35
H207541HBG,367,2020-12-07 10:08:29
D805298YKB,700,2020-08-15 18:40:12
L271597VUT,643,2020-12-21 09:13:15
F789979TOS,739,2020-08-31 12:21:09
E801271RNK,622,2020-10-14 20:37:07
M283984VYQ,664,2020-08-21 08:16:34
W302483IDM,613,2020-04-28 14:34:59
D581570AMO,615,2020-12-01 02:20:17
Y138526GRM,416,2020-12-13 13:30:24
D288991UDF,881,2020-10-14 20:52:01
S493567JAX,416,2020-04-03 13:17:55
Q465150WVG,99,2020-06-07 21:06:08
Q435305NMD,880,2020-08-24 02:34:36
Q432054DNR,58,2020-03-23 08:09:34
M386532IPK,313,2020-07-07 05:27:53
A451142EHV,265,2020-11-12 04:11:03
X705431BIE,913,2020-06-10 01:27:20
Q881639CNQ,976,2020-11-17 02:20:47
E441323VAH,715,2020-10-14 21:45:38
V940948GNE,21,2020-05-13 08:48:04
T870566SWZ,723,2020-10-21 20:33:34
F420137ACT,202,2020-08-17 21:53:16
V998957AKE,972,2020-01-21 15:46:31
N955177VRJ,398,2020-07-04 21:30:02
K927027CZG,330,2020-06-30 04:31:09
H853582NTF,482,2020-09-22 03:53:17
F966731KPC,530,2020-12-08 00:14:53
C398684JQF,834,2020-11-09 14:55:45
G256487PZR,229,2020-02-13 22:12:43
Y936153UNH,388,2020-08-04 21:19:25
G687857CZU,704,2020-09-14 07:35:23
K584589GXF,512,2020-01-13 22:38:10
U744081RUJ,981,2020-03-20 22:59:55
E806424ACH,912,2020-10-13 15:47:39
Z925738IWW,398,2020-04-11 12:17:59
R971395NMZ,915,2020-05-28 05:25:52
I232611EAU,175,2020-04-08 01:18:54
R411585MRC,457,2020-09-25 11:12:28
Q147138NJG,107,2020-04-05 14:20:58
S503908DQS,451,2020-04-17 06:46:24
S835840CUB,954,2020-05-30 02:36:45
J976864ROS,175,2020-05-02 21:02:34
C346015WTR,8,2020-04-29 22:57:21
M973943JFQ,457,2020-09-11 06:46:03
S792864AEA,810,2020-12-19 07:51:22
T173812IEX,519,2020-07-02 14:57:33
N401959SZC,207,2020-02-27 00:52:44
K706452AEK,668,2020-06-10 17:09:06
M297053LRV,308,2020-12-14 04:18:42
L800687RIY,630,2020-05-01 22:31:09
F864996QAU,981,2020-11-28 05:11:27
C630959CDJ,667,2020-12-13 17:36:04
V174718HWU,110,2020-02-29 00:12:02
I527220YRJ,534,2020-12-14 06:56:38
S754389CYP,89,2020-07-10 22:35:24
Q105036WKO,170,2020-01-15 04:46:01
G376612YYO,461,2020-02-03 13:39:09
G904550JZD,538,2020-11-15 00:40:40
I336832AHU,526,2020-02-26 04:04:56
F498882COE,479,2020-01-11 19:31:49
C174035BWK,129,2020-03-11 05:42:10
Y114889GWK,851,2020-10-03 09:13:07
N405455FBX,236,2020-05-11 20:41:33
O508103TGV,522,2020-05-19 08:43:21
Q421988JKF,522,2020-07-09 06:33:50
E962589PUB,452,2020-11-29 07:44:14
Z365566ZNT,631,2020-11-22 00:46:50
H397695GVA,326,2020-03-20 23:30:04
G429574QGL,407,2020-05-07 06:52:11
U987019ZFC,312,2020-02-01 23:18:40
N991007DBD,72,2020-11-02 01:53:47
Q773243SFQ,151,2020-03-30 05:55:15
U783288SOD,609,2020-05-21 15:29:13
H528919ZXP,644,2020-09-06 20:19:25
A668683RKX,519,2020-06-15 03:06:13
S828881RKE,823,2020-10-20 09:09:19
A100085CXY,255,2020-07-29 19:24:50
E129661XZD,969,2020-02-04 15:18:28
U774974MEW,306,2020-01-01 19:12:36
V706861YEI,824,2020-08-12 02:59:13
I305329GWW,648,2020-03-14 03:52:55
C443447UEF,879,2020-04-24 06:44:29
X809541RDJ,956,2020-06-21 03:56:02
X395035PXA,660,2020-04-30 09:39:35
Q370357XQT,910,2020-07-15 09:36:22
F501331IMP,651,2020-08-04 11:35:15
S574230OBE,132,2020-05-07 18:49:03
Z656439DVO,504,2020-06-17 05:07:20
F190160HUV,426,2020-07-01 20:11:50
M966441ZXL,101,2020-03-03 15:31:18
R384979FGP,390,2020-03-07 16:44:24
N329113ZVY,476,2020-12-30 15:28:16
Q861748CAG,726,2020-01-02 05:48:03
P535402TZP,694,2020-11-08 15:53:28
B236286MPT,955,2020-03-13 09:43:58
A539524LDQ,32,2020-06-19 05:27:56
H173099WEI,364,2020-12-31 19:29:04
C246016JVD,446,2020-03-06 06:26:31
X859875CJG,199,2020-05-23 04:30:12
V424266TXQ,176,2020-01-10 07:14:23
U508721XWP,811,2020-07-13 09:21:11
A144426RVM,181,2020-09-29 20:12:15
N734053RTZ,458,2020-04-15 03:50:34
K930660WOU,426,2020-10-17 23:39:50
G357533VEY,881,2020-06-06 18:30:30
E179314SKL,462,2020-10-17 11:26:18
U497831GTK,327,2020-12-23 18:46:15
Q801878QED,340,2020-09-23 18:10:06
C223332IIE,503,2020-03-04 20:43:20
T683385JQB,50,2020-10-28 07:37:17
L852797VVI,741,2020-08-23 15:31:26
C387051VDU,618,2020-09-24 19:39:28
D951309VSD,627,2020-11-18 03:42:10
E477278FOI,885,2020-02-08 15:18:12
X383943MCB,456,2020-09-12 06:36:49
R760515UPK,633,2020-08-16 00:04:35
H778333PBA,990,2020-10-10 04:20:56
K982719VYJ,22,2020-07-07 19:43:44
R303875KXF,62,2020-04-26 05:27:53
X349026PTD,433,2020-08-09 19:41:44
I985514SFM,725,2020-04-17 02:14:32
M106910XXI,570,2020-09-02 21:31:57
P372416IWU,821,2020-08-07 00:26:26
U482141PDU,825,2020-01-13 04:47:41
C131500NBH,547,2020-05-05 09:36:55
N570439QAB,904,2020-10-15 06:03:19
G320838UJE,765,2020-09-08 12:04:04
H350819IIQ,309,2020-04-27 13:03:50
T446851NOW,231,2020-07-07 10:25:14
U665756ARC,84,2020-01-21 17:01:12
W630983VZA,376,2020-12-14 10:28:15
O343285EVQ,660,2020-06-11 21:08:42
T405564QNK,166,2020-07-14 23:40:00
I412556SEF,446,2020-07-05 07:43:04
W681471KUT,97,2020-07-10 03:59:29
R778261ZEC,589,2020-02-09 12:14:31
D898288MTY,301,2020-10-18 07:47:56
C158108YWW,799,2020-05-18 10:57:11
V369517KUE,967,2020-02-10 18:19:10
K869347UEL,831,2020-03-25 03:01:26
R322759OMM,637,2020-05-31 06:21:09
Z734197BIR,793,2020-05-04 12:03:09
G696774WWW,881,2020-08-07 07:13:09
O350116WLZ,852,2020-07-27 06:06:42
M811315LSE,169,2020-09-24 10:33:44
T816187GGR,397,2020-10-25 20:52:41
D287708UWC,488,2020-11-07 07:56:16
H700931TBA,126,2020-06-16 01:30:22
M650674FVJ,938,2020-03-07 20:55:22
L603861NHO,210,2020-05-12 00:14:33
T916322OIM,20,2020-08-19 15:02:16
V404507AHH,726,2020-08-01 02:15:23
I347010WRM,542,2020-05-30 04:43:20
D942821CBZ,313,2020-12-29 16:53:52
M592399NHW,625,2020-11-07 06:28:37
Y267732SBY,454,2020-11-17 02:02:53
Y497972UUL,213,2020-03-05 18:28:54
Q966123JAM,647,2020-01-01 17:18:54
S968668GOB,557,2020-10-18 04:49:16
W309012FFL,336,2020-11-16 20:46:03
M229257OTY,183,2020-10-05 23:29:52
B148172WVI,102,2020-03-26 11:42:47
Q169472BVM,776,2020-08-02 02:23:26
O650327OTI,524,2020-06-13 06:51:54
J779665MAA,691,2020-08-08 22:51:54
G475257NQQ,459,2020-09-21 23:02:51
O514761PXZ,447,2020-11-18 05:14:45
J539395WMT,260,2020-01-20 14:31:10
U414874RAZ,262,2020-10-31 09:39:55
K976661JEK,265,2020-06-14 14:59:05
B579101HKA,968,2020-07-29 16:49:48
I149661XGW,975,2020-07-16 04:17:12
H542948JIX,683,2020-10-25 16:26:09
M302948AUA,391,2020-04-19 08:42:33
G930165NFC,540,2020-07-17 02:11:40
Y466351NAS,227,2020-01-06 05:51:35
E808983BBS,797,2020-12-07 06:35:00
S144542SSC,988,2020-12-04 09:17:59
Q166403EAU,148,2020-05-13 19:42:25
A798912ZXQ,682,2020-11-07 04:52:28
I465020KHF,324,2020-12-10 14:59:17
G505587PUI,76,2020-08-11 08:16:28
X541235DWX,377,2020-04-13 17:46:03
A408444PVX,270,2020-10-05 21:06:23
W105111XIG,826,2020-10-25 10:06:24
M894263HPU,558,2020-06-14 03:24:40
F747907VKQ,900,2020-06-19 02:51:34
M392007ABD,507,2020-10-17 03:42:49
G421793ZER,462,2020-02-23 22:06:41
E863040TZT,398,2020-09-25 14:09:32
L920513HTS,145,2020-04-16 15:38:58
X615652PIJ,429,2020-02-15 06:12:59
I966443FIS,353,2020-07-23 04:10:31
J716770FJJ,651,2020-07-25 09:30:41
Z322472VNT,270,2020-03-18 19:58:42
X593711BIL,37,2020-11-14 16:53:21
B622767JGA,140,2020-09-30 02:59:44
R630038TWU,917,2020-07-28 21:32:57
A314220NTD,811,2020-01-16 16:28:31
Y615134IVF,881,2020-07-18 08:46:54
C536070WVZ,571,2020-08-04 00:27:52
K375613VFL,4,2020-07-01 05:15:56
D524304NMC,109,2020-09-30 09:08:15
C640515QYK,832,2020-12-31 00:21:00
F261470YVJ,472,2020-09-05 10:35:08
Y106460AZE,787,2020-02-22 08:33:42
V227653GNS,25,2020-03-30 16:19:01
R188470JVR,820,2020-02-16 05:30:33
X162613TLO,336,2020-12-12 17:05:32
A412620GAY,338,2020-08-27 06:45:45
P818182ZIM,284,2020-01-27 09:18:38
T837155BZI,283,2020-11-15 03:23:55
U333006SJL,230,2020-12-02 04:34:22
R280003ZQD,674,2020-12-04 13:05:41
M112035CYA,375,2020-03-15 16:55:30
Q494819VLE,533,2020-05-28 20:32:56
R604126JPG,349,2020-01-29 11:13:59
U281368BZM,319,2020-10-28 15:13:46
W559768LPJ,550,2020-01-31 10:01:10
S299494SYP,270,2020-04-07 22:49:11
K932782YQM,328,2020-01-02 01:59:48
C241427XTW,749,2020-01-03 14:49:59
K610645RLT,178,2020-06-05 12:01:38
J747162TRQ,68,2020-09-05 08:44:53
K187507MOK,644,2020-07-30 03:17:46
L625442EEA,32,2020-08-11 14:26:26
Y465373WUP,220,2020-11-16 02:47:09
E254891WVG,156,2020-03-07 15:49:20
S831819GUB,31,2020-12-25 21:25:12
N708740RZA,930,2020-10-09 19:30:51
U234243JGB,985,2020-06-01 08:35:14
A549924ZME,890,2020-04-08 04:32:12
X604767DLT,533,2020-04-13 02:12:47
I497007DLM,612,2020-11-23 19:42:52
M508326BAA,549,2020-12-17 21:14:48
V574536LWP,183,2020-05-30 10:16:52
V901570EGB,375,2020-05-12 14:01:47
D578715GAB,767,2020-05-11 20:26:05
M604590XLY,720,2020-05-20 16:36:25
P186066PLN,38,2020-03-04 18:22:24
D746472UJP,830,2020-09-17 15:32:38
H950345IXA,929,2020-05-21 17:23:07
Z518410HKE,633,2020-01-22 17:59:30
V806263HOR,773,2020-12-17 14:21:46
J742152JXC,112,2020-07-11 00:24:24
D762425QHJ,686,2020-04-13 22:12:29
Y632578USE,475,2020-08-05 08:18:46
F772643CUI,426,2020-05-27 13:14:19
V663768GLE,392,2020-03-02 06:58:36
J301469LIF,432,2020-04-25 13:41:05
D650670EAM,449,2020-01-22 09:20:13
C205440IFX,923,2020-05-14 06:49:25
N743720TJU,415,2020-09-14 21:40:30
W551981GVQ,638,2020-07-25 11:33:11
G175185SNO,439,2020-02-17 23:14:25
Y945883SWQ,156,2020-05-21 01:46:23
H412563KXN,27,2020-03-17 13:22:51
H147933ZTF,619,2020-12-10 19:33:51
Y760125AJN,741,2020-06-14 08:02:25
F830712HAG,850,2020-05-09 01:55:09
J632902XVX,689,2020-10-19 08:22:19
M971214YPF,209,2020-05-16 20:15:59
F284350RDM,972,2020-06-11 05:37:45
R391790MAJ,685,2020-06-19 05:06:35
L991034FVN,697,2020-10-09 18:33:24
W237013ERF,712,2020-10-01 01:28:00
E873441EYH,20,2020-06-02 14:22:52
Q326639HYX,985,2020-11-16 17:36:31
A853609MPL,273,2020-10-02 14:42:30
O320575QEY,723,2020-02-29 10:39:55
P976159QRO,131,2020-12-25 09:20:00
R282484OJO,128,2020-10-24 14:06:07
D401141MTW,18,2020-07-09 13:52:40
G290463OWF,915,2020-06-29 18:25:46
C723255ZPD,202,2020-10-16 12:48:51
M945035RMI,648,2020-12-09 16:22:31
S952618KCK,722,2020-09-09 19:47:48
Y866749NDG,632,2020-09-25 05:33:51
Q335675NRC,208,2020-09-15 03:47:46
X362964RXG,481,2020-05-10 19:39:44
G797462UGW,681,2020-02-24 01:37:26
R610145PLP,502,2020-03-03 20:50:20
K776712ZAX,51,2020-09-17 05:18:44
I413483TKD,250,2020-07-10 05:08:00
V635733OXR,368,2020-05-04 10:29:48
R141772UYH,35,2020-09-18 02:53:27
J845610CXQ,432,2020-10-15 23:57:37
I275731RVH,826,2020-07-01 22:13:05
G933966EVT,233,2020-11-17 23:20:06
D573747ZPG,279,2020-01-19 18:44:42
V944775GGT,188,2020-09-01 12:38:30
G936880DVZ,678,2020-11-02 21:11:19
O237747ETJ,207,2020-02-05 06:32:42
P206246DGV,807,2020-05-28 21:55:28
P923181YCV,611,2020-12-01 22:09:03
N819871XBA,700,2020-02-20 10:37:41
M380625BFA,454,2020-01-24 20:37:11
B791338WQR,809,2020-02-26 16:36:47
O346645DPR,118,2020-04-23 01:17:17
T558323OUX,500,2020-03-18 15:39:30
O357646JCR,179,2020-01-17 16:48:28
Y501914CEY,899,2020-02-01 03:19:45
Y521717REJ,700,2020-08-02 00:11:08
Z741002RFA,225,2020-03-19 03:47:47
C129751INW,509,2020-06-29 19:37:21
Q266011EWN,381,2020-05-16 14:21:57
L162494BIH,784,2020-04-08 18:14:43
P221077VUH,806,2020-09-08 20:01:27
M144908VBO,692,2020-10-21 18:19:45
N644089RDP,171,2020-12-25 04:23:45
Z984517JQT,151,2020-07-17 00:30:25
I171525NQR,577,2020-05-14 02:36:27
V390407VGE,494,2020-05-01 23:15:50
P984649GHJ,111,2020-10-14 15:27:12
U254101STI,898,2020-05-23 15:21:01
N164713TGV,945,2020-03-08 16:53:39
U777987FFL,324,2020-02-18 12:47:25
X249090DYO,132,2020-08-12 02:08:57
M991511GMT,368,2020-07-13 03:37:53
K958093TZO,952,2020-02-04 16:59:19
Y897899MVQ,312,2020-12-13 03:54:20
A988710NLX,817,2020-02-01 20:50:26
Q502066XZI,90,2020-12-19 20:10:37
G709034LXY,918,2020-12-01 14:16:12
K799664XFN,871,2020-09-09 06:50:32
O326833VXJ,361,2020-09-17 22:32:32
V342172AEG,744,2020-09-12 04:20:17
R919148HXE,449,2020-11-19 15:35:02
R685763ILN,503,2020-07-01 14:05:04
U875837LME,824,2020-01-16 09:51:28
M465983THQ,286,2020-09-29 05:48:10
Q376735NYF,624,2020-02-24 17:46:47
H717989FLU,258,2020-03-25 09:27:22
E866371EJZ,773,2020-10-17 21:16:24
D625227OUM,289,2020-08-13 05:43:03
E512293LRD,126,2020-02-27 12:38:50
G599149VJT,759,2020-11-14 07:36:54
S338478HVW,826,2020-08-21 01:13:55
W121579OKQ,935,2020-06-23 06:15:31
F983980XII,931,2020-01-29 18:07:23
N516781YRM,237,2020-04-17 10:02:01
V806545RPO,440,2020-12-01 02:34:45
