hst_id,plat_no,slot_number,reg_date
42,Y663792GHZ,767,2020-10-15 06:22:33
43,X984142IVX,220,2020-08-08 22:25:09
44,K921249JBZ,624,2020-12-26 14:29:53
45,E489132UML,648,2020-03-27 22:36:46
46,M185539SEH,369,2020-01-04 21:45:38
47,J110570GQL,250,2020-01-28 05:31:23
48,K970385WQV,295,2020-01-14 09:07:50
49,H913259EBU,836,2020-05-05 21:59:23
50,Z502131KFS,505,2020-10-21 19:12:32
51,O566309LVE,391,2020-06-18 22:31:52
52,E135883FWJ,239,2020-03-17 00:01:03
53,M868731XSD,914,2020-04-05 14:58:41
54,V944874CFG,463,2020-04-07 14:29:07
55,N742286CXQ,507,2020-11-17 08:16:22
56,F582265CWV,695,2020-07-01 12:37:23
57,H480878PBD,722,2020-05-08 09:39:20
58,K698616BKW,720,2020-01-30 10:35:56
59,H738415BSY,456,2020-03-22 23:51:21
60,Q947920IFH,153,2020-06-12 01:26:24
61,C862887ZSV,191,2020-09-08 01:20:08
62,W904446SMX,743,2020-11-05 16:13:50
63,U496488ZQP,38,2020-11-12 05:03:21
64,I591931OCC,212,2020-10-26 11:03:26
65,I413703EMY,373,2020-05-05 16:16:08
66,F137451ULI,114,2020-01-07 15:37:11
67,M330040DAM,204,2020-12-07 23:56:17
68,D448266EBQ,528,2020-07-18 19:13:29
69,V202158RCB,429,2020-01-25 02:17:05
70,R427589MAQ,37,2020-01-30 01:33:23
71,X567629GCE,314,2020-09-28 13:04:37
72,I819656IVF,768,2020-05-01 05:22:33
73,G363103FBH,261,2020-01-25 23:50:40
74,L388840MBC,489,2020-10-01 15:15:29
75,K253851ILU,768,2020-10-15 06:34:56
76,B643009LXE,204,2020-01-16 05:58:34
77,H290089SGJ,639,2020-11-26 23:24:28
78,Z685281FUI,563,2020-05-31 07:43:14
79,H461658QHJ,393,2020-03-03 13:20:08
80,O618673AZI,431,2020-01-15 05:17:17
81,R958661JRU,861,2020-02-09 22:14:05
82,V282843MVX,329,2020-01-10 17:49:24
83,O632917BXJ,247,2020-01-08 02:19:44
84,P166623UGU,486,2020-06-03 07:18:10
85,L849209IMM,704,2020-07-20 11:31:01
86,K568244YYZ,839,2020-03-19 03:42:41
87,J758105LBM,299,2020-10-03 16:35:01
88,F716310RQW,137,2020-04-03 08:26:51
89,V402360SOG,88,2020-05-27 18:18:29
90,X534694EPF,819,2020-07-25 06:11:46
91,O528412HSU,220,2020-06-25 02:26:53
92,I362351HOM,692,2020-11-14 11:48:45
93,X131365AGR,603,2020-12-22 19:09:38
94,O272408SSE,748,2020-11-30 21:43:08
95,L867963KWE,796,2020-01-29 11:09:49
96,T980697NQF,303,2020-02-18 18:52:14
97,E393440OMR,531,2020-12-05 23:12:22
98,X587840BWM,873,2020-02-13 07:53:20
99,I227101MES,746,2020-08-26 10:31:44
100,I238964VNC,269,2020-11-04 17:00:36
101,F259475EHZ,352,2020-10-05 21:34:46
102,X595543WFN,258,2020-01-28 22:17:41
103,N895587QOB,672,2020-06-30 11:41:14
104,R688773OXU,787,2020-02-06 10:14:03
105,J734585TDC,787,2020-06-06 21:51:57
106,T312600ZRM,433,2020-12-29 00:42:48
107,J331923UKH,729,2020-12-07 21:23:45
108,R685013CVP,457,2020-09-07 09:22:07
109,P556809MHW,54,2020-08-06 16:53:10
110,C883167PAO,917,2020-12-15 13:45:25
111,E861795YTG,931,2020-09-17 15:29:25
112,U637583LJH,873,2020-12-03 12:24:36
113,F203753TJH,634,2020-07-16 00:33:49
114,K114349NQO,516,2020-02-09 10:49:34
115,G412468ZRU,527,2020-09-01 14:20:15
116,Z569973LIQ,613,2020-10-28 13:10:46
117,W780739ERN,780,2020-12-01 01:36:43
118,Q964627SHZ,398,2020-09-15 10:50:49
119,I371406EGO,100,2020-05-22 13:25:11
120,A549594RKR,464,2020-01-20 02:33:45
121,H471060XSJ,479,2020-07-03 03:24:04
122,I975797MRG,67,2020-06-21 07:47:03
123,N298016GXN,395,2020-01-30 15:56:10
124,J678933WJO,966,2020-11-20 02:55:46
125,N260337TMA,71,2020-09-06 15:07:00
126,O324157MUR,840,2020-12-23 02:30:18
127,J574930UYH,836,2020-09-24 15:45:12
128,J434456CXJ,840,2020-03-30 08:01:36
129,R343828HWW,911,2020-10-13 05:50:21
130,B175247UVZ,341,2020-11-28 15:40:28
131,M693586HEU,328,2020-05-22 13:47:28
132,B307144FBX,596,2020-05-11 15:09:19
133,I897257DJZ,458,2020-02-25 19:08:17
134,J247730BYZ,450,2020-02-29 11:49:12
135,F617121GBO,985,2020-04-09 22:35:04
136,H526654EYI,513,2020-11-26 14:10:56
137,A681189USU,966,2020-02-10 18:23:28
138,Z347294RTP,375,2020-07-21 06:08:19
139,V569659OHF,907,2020-10-18 01:42:13
140,Y841129OIU,509,2020-10-31 09:08:38
141,H422946VCP,442,2020-10-01 17:05:02
142,E759432ELV,143,2020-10-25 13:56:44
143,U600736FBP,518,2020-08-24 00:45:30
144,E546093CRU,83,2020-09-12 03:06:59
145,G835947ISL,642,2020-08-24 02:10:44
146,H349320MRE,242,2020-04-14 07:25:46
147,X989094YQL,764,2020-02-23 20:26:18
148,B939300DNQ,300,2020-07-28 06:18:05
149,M171648NDO,404,2020-02-22 10:17:12
150,I609636LJR,982,2020-12-29 18:51:25
151,B357966YCC,141,2020-05-22 19:34:50
152,F109592QWZ,234,2020-08-03 05:15:48
153,S178459HFK,149,2020-12-06 02:07:59
154,K322491BET,570,2020-12-16 01:02:39
155,L544737HDI,720,2020-02-17 04:37:16
156,X360691HRK,301,2020-02-17 08:04:00
157,L609570UGJ,444,2020-03-16 05:44:21
158,W973525ZTR,806,2020-07-15 16:10:55
159,Z450154NWJ,966,2020-01-10 02:40:09
160,N479982YII,206,2020-06-02 14:16:40
161,A517968VBS,129,2020-07-24 13:15:49
162,W899617JXL,582,2020-04-09 22:17:25
163,R258899CRY,100,2020-08-02 19:56:38
164,A766908OAY,899,2020-05-05 02:39:10
165,U855341HDY,210,2020-01-15 04:54:41
166,U387334BRQ,792,2020-02-29 11:04:07
167,P376584MBO,27,2020-05-31 23:28:12
168,V505955CHO,630,2020-12-19 08:50:34
169,F554004CUU,651,2020-09-11 18:56:34
170,Y761419MUX,356,2020-06-20 16:15:35
171,U437570WNI,209,2020-05-08 23:44:35
172,J712065SCN,694,2020-07-19 15:25:29
173,S468393MMI,816,2020-04-01 23:44:30
174,L198903ZAM,666,2020-02-04 14:22:46
175,S706144TDK,651,2020-09-26 09:21:57
176,V460469TAU,220,2020-05-01 00:52:54
177,U872292LUP,962,2020-11-20 07:18:22
178,V887048DZW,175,2020-03-25 02:45:57
179,C494647CFF,661,2020-11-03 19:50:23
180,I754595ARA,304,2020-07-30 10:38:54
181,E761391IPE,439,2020-04-24 18:21:44
182,W344646UUI,65,2020-03-26 11:17:19
183,D251795NMM,228,2020-06-03 05:48:09
184,I190739XZG,127,2020-01-12 02:52:25
185,E359489XTQ,305,2020-08-31 17:14:03
186,M255299WMH,981,2020-09-26 18:59:16
187,R863995QCW,712,2020-12-25 20:57:36
188,Y472883RUH,31,2020-08-18 12:37:32
189,N197115BNN,671,2020-04-02 12:39:30
190,B353635FYL,558,2020-10-13 13:25:39
191,W597648EKX,438,2020-07-06 03:25:19
192,O203741EZJ,852,2020-09-24 03:29:55
193,I925601VOI,127,2020-02-20 13:45:17
194,S139070RPF,755,2020-09-04 00:06:25
195,B988813BPW,309,2020-08-10 11:45:25
196,R584171GNT,850,2020-05-28 19:40:53
197,L283229XEH,61,2020-02-17 03:59:46
198,J481121HKA,344,2020-02-19 13:25:18
199,V737961GNB,165,2020-03-13 09:34:05
200,W370742KXG,965,2020-07-28 13:49:05
201,D102782YTN,402,2020-05-24 18:31:36
202,U677510XBT,296,2020-07-30 14:50:57
203,L854976XAV,3,2020-10-26 04:18:20
204,E385068OND,292,2020-06-03 12:32:45
205,T629256ZPC,413,2020-09-17 12:59:28
206,Y557460CDW,432,2020-08-12 20:25:09
207,B486549RYO,407,2020-04-23 00:41:53
208,R778639OXQ,586,2020-05-13 01:23:26
209,Z102810VCN,420,2020-03-15 19:06:05
210,K795644GFZ,770,2020-01-06 05:24:07
211,Z790588NQS,983,2020-12-27 00:35:53
212,F268069YTL,172,2020-11-13 03:52:49
213,J579112LUT,568,2020-02-05 15:53:43
214,Z386261JFV,398,2020-05-29 00:00:44
215,K327714LGG,419,2020-12-15 20:15:16
216,C937019YNQ,323,2020-10-10 23:31:49
217,G287707MXB,935,2020-12-25 21:12:21
218,B995405DBH,579,2020-07-01 16:51:44
219,B187818WEE,947,2020-11-20 13:31:03
220,N601130KCA,417,2020-10-28 09:34:55
221,H862669ILO,192,2020-05-10 16:26:45
222,B515056WWD,107,2020-11-20 10:46:59
223,D538487KYW,510,2020-08-15 08:39:35
224,M141719JBU,446,2020-11-18 20:53:51
225,X787911RTC,123,2020-03-16 23:55:01
226,Z947640RAP,37,2020-08-19 03:01:28
227,I201064PXB,255,2020-07-22 05:42:34
228,I613821GRV,341,2020-01-25 16:05:24
229,H809236LSA,987,2020-03-12 09:18:18
230,V174775ZDL,382,2020-01-03 07:35:36
231,T415460TTB,243,2020-12-02 12:13:42
232,F168179CDK,520,2020-04-07 11:49:35
233,L553753YMS,260,2020-04-18 17:40:51
234,Y938553SWG,367,2020-09-21 14:05:40
235,E362414DJJ,787,2020-02-24 07:18:31
236,S633869EFA,568,2020-02-04 18:13:21
237,W279423HVD,315,2020-01-12 01:16:00
238,I894061CCL,183,2020-04-29 20:30:54
239,G438281LGB,679,2020-09-19 20:13:11
240,F540413CVF,503,2020-10-17 15:37:21
241,N531849LYI,655,2020-02-15 14:03:39
242,D183416HAY,811,2020-11-22 22:23:02
243,K169455MBN,577,2020-09-05 04:41:00
244,L256412KUR,691,2020-08-15 22:47:43
245,L776758ZYS,372,2020-08-06 12:38:22
246,L210286QIH,794,2020-07-27 11:36:19
247,O592293XQZ,13,2020-10-05 23:06:34
248,F892785UWW,678,2020-11-09 20:22:40
249,S280275IFW,655,2020-04-14 06:04:02
250,N564815AZF,648,2020-10-08 07:27:47
251,J495593KRQ,441,2020-11-18 12:39:34
252,P339028SOM,966,2020-10-11 15:55:42
253,F287292KNV,831,2020-06-06 05:10:34
254,T734272RRG,264,2020-08-06 18:33:08
255,Z968909UAO,533,2020-03-09 11:53:44
256,E692370LRJ,210,2020-08-15 21:56:53
257,D563081BKQ,652,2020-03-06 20:47:58
258,B583799XXG,952,2020-08-04 11:48:23
259,B223487ESK,303,2020-11-07 01:44:41
260,X591631CEF,955,2020-03-24 22:01:39
261,U153524RTU,698,2020-07-20 06:26:41
262,C610535JQD,221,2020-06-22 15:14:23
263,M896505TZX,390,2020-06-28 07:40:53
264,X399627BAF,711,2020-07-23 07:45:33
265,P388588VRH,22,2020-10-28 12:31:02
266,A921297EVS,85,2020-08-16 22:16:37
267,G581142SUR,757,2020-04-21 14:11:48
268,J378424GSE,181,2020-06-26 06:21:33
269,S393378ACY,513,2020-08-11 13:07:39
270,Q107235PSL,155,2020-03-12 14:43:09
271,P513582IMR,926,2020-02-06 07:48:29
272,D711372RDQ,52,2020-11-07 00:35:19
273,C112361IBJ,893,2020-11-02 20:33:24
274,R489285ZSD,920,2020-03-30 01:17:08
275,R988915BZE,284,2020-09-02 00:34:34
276,H458227SBZ,722,2020-10-05 05:07:29
277,N764273HLE,407,2020-03-31 06:58:44
278,U125168YBC,142,2020-09-29 04:48:39
279,D185166JDR,550,2020-02-20 14:29:57
280,C202896HJN,888,2020-06-30 04:59:28
281,P924849KEO,75,2020-10-09 17:01:17
282,C908912QWV,701,2020-06-25 20:39:54
283,J298018LBC,644,2020-03-10 21:04:55
284,W375429BVJ,609,2020-07-24 14:09:11
285,H441258LCP,566,2020-12-22 03:52:11
286,R390229WVE,393,2020-07-28 12:26:39
287,K205037OWN,633,2020-07-28 00:20:24
288,F159784YSM,608,2020-11-06 13:27:04
289,N625778MPB,475,2020-07-05 13:56:24
290,N876603XJS,212,2020-11-10 00:10:19
291,E157729RCH,473,2020-03-25 05:08:42
292,Z329013CAC,830,2020-07-27 22:31:55
293,W659070FXQ,393,2020-01-04 21:41:11
294,B404153UKM,4,2020-09-24 04:48:30
295,Z457344NVD,606,2020-03-10 10:56:11
296,D488121QSB,205,2020-07-23 08:02:48
297,N665467ZIF,496,2020-11-29 09:56:34
298,B913798TNS,925,2020-09-10 18:20:35
299,L527051REM,410,2020-04-24 20:28:03
300,N593089UIP,976,2020-03-19 22:37:56
301,Z744492MUG,1,2020-08-16 06:11:57
302,S626367XFX,95,2020-09-12 09:00:00
303,R882943TWZ,659,2020-08-27 04:40:07
304,G430262DVP,431,2020-04-26 07:16:35
305,A741454GVX,817,2020-01-26 21:48:20
306,N774008EUD,709,2020-05-27 14:10:58
307,L415929WTG,539,2020-02-02 05:06:46
308,F245601FFA,560,2020-10-26 22:56:08
309,B451146YOS,206,2020-01-21 04:49:26
310,E210862HWD,532,2020-12-02 18:54:26
311,V744504LXX,588,2020-12-29 09:43:01
312,N445722JKO,490,2020-07-29 17:06:40
313,D763102QQO,120,2020-11-26 02:59:55
314,X547794LBV,939,2020-03-31 03:43:18
315,P351898LNO,56,2020-03-24 15:02:14
316,Y290100WRV,377,2020-06-09 17:11:56
317,T994710YUK,506,2020-01-17 22:22:13
318,Y411891JDV,429,2020-09-02 02:43:37
319,S558052YSW,704,2020-08-26 07:52:51
320,N587550XXF,681,2020-11-03 11:47:44
321,U484759KJN,164,2020-07-19 15:44:45
322,D338144ULA,230,2020-02-02 04:17:03
323,H746580FIW,975,2020-04-07 01:58:13
324,C373679PUE,39,2020-04-28 21:38:08
325,P366979RGZ,8,2020-11-19 10:37:21
326,V433044JFO,836,2020-09-06 00:36:29
327,S408012ZAW,984,2020-11-19 22:21:54
328,A639938NUP,346,2020-12-25 18:09:05
329,Q604403ZMY,457,2020-06-26 22:37:30
330,N322072SEJ,124,2020-11-19 07:41:15
331,W461826BSJ,131,2020-11-24 09:43:53
332,A374624FAI,987,2020-07-25 03:40:13
333,N421322QIE,636,2020-04-12 17:10:17
334,C853966IHN,372,2020-04-07 11:38:06
335,F715493QAY,800,2020-10-02 05:57:09
336,O710658ILV,785,2020-10-11 03:59:31
337,O325285RAY,627,2020-09-24 04:58:53
338,X361440XOZ,627,2020-08-07 12:31:02
339,Q315931LCT,223,2020-11-22 03:49:40
340,J501127XGL,46,2020-12-27 12:38:47
341,N279423UBK,358,2020-11-05 09:55:19
342,W552786ECW,613,2020-05-17 23:36:54
343,J844413CRM,660,2020-03-22 06:48:39
344,X206637FST,177,2020-03-06 04:08:03
345,S871616JMZ,361,2020-03-29 23:30:14
346,R831485OUX,42,2020-06-25 12:09:50
347,M782591KSH,627,2020-04-14 20:55:49
348,N660884ZDM,812,2020-03-05 18:50:29
349,U723843FLZ,685,2020-09-05 03:29:40
350,Q555387ZWK,309,2020-05-03 05:01:56
351,M129353SBX,340,2020-03-17 08:23:08
352,Z669259XBI,112,2020-04-24 21:45:43
353,V689808EMS,128,2020-05-07 19:14:16
354,K570430XHA,483,2020-12-18 05:45:09
355,R533832UAK,667,2020-08-22 23:08:40
356,C394099FXJ,437,2020-03-05 20:03:57
357,J436566OIH,981,2020-08-30 11:13:41
358,P377693OYN,160,2020-05-23 21:37:05
359,H599795XVQ,539,2020-02-02 14:09:45
360,E104173VHN,418,2020-10-24 20:03:55
361,J158522EXD,953,2020-06-21 00:09:52
362,X806416JNO,349,2020-04-06 16:29:52
363,H903011IZP,382,2020-03-01 03:54:55
364,G249119FIQ,753,2020-10-16 04:09:49
365,M648423DSE,496,2020-06-11 03:56:41
366,V410678ZUS,876,2020-06-29 06:36:40
367,Q866308GBJ,36,2020-04-29 10:22:01
368,P250372TLY,969,2020-03-18 00:14:24
369,B621647KVW,756,2020-11-17 04:47:51
370,D768607VHV,756,2020-10-17 09:42:19
371,K505557CEB,440,2020-06-14 08:25:25
372,Q226549LRG,817,2020-01-09 21:16:05
373,Z408134JXH,535,2020-10-27 01:19:53
374,Q413190KYQ,499,2020-12-13 22:25:53
375,E102346RPL,711,2020-11-12 21:56:01
376,Z949650AKD,997,2020-09-02 05:12:17
377,E421148YKR,49,2020-11-09 15:23:58
378,F131065EHN,811,2020-06-13 02:43:49
379,R992605BFD,707,2020-04-02 07:10:05
380,L586533MRW,292,2020-01-03 13:16:44
381,D470298IXL,406,2020-05-09 04:19:25
382,P664465YZF,204,2020-11-13 01:46:52
383,K236673LCJ,292,2020-05-23 04:12:38
384,G984531WAT,64,2020-08-05 00:43:41
385,T689473VWK,490,2020-05-21 02:29:49
386,P749130JDI,777,2020-08-14 05:15:03
387,S312381PWA,253,2020-05-17 15:23:59
388,Z106029AIL,810,2020-03-29 10:14:09
389,O659151BVH,976,2020-08-08 12:13:24
390,Y261201KDM,255,2020-02-24 18:04:00
391,B851756RFI,402,2020-01-28 11:20:49
392,S396247XID,993,2020-06-28 03:07:22
393,D330009CUW,387,2020-10-02 20:02:24
394,B254920GIR,940,2020-08-06 21:09:15
395,R760146ELN,87,2020-08-28 22:35:26
396,R542260BUA,349,2020-04-26 03:41:26
397,F298629YCU,921,2020-09-23 09:29:23
398,K817088JNA,455,2020-07-30 23:19:57
399,E422372LIK,79,2020-07-21 00:23:08
400,A647469MMG,466,2020-08-27 09:27:47
401,E348578UAV,484,2020-10-29 02:15:02
402,M417077HBJ,740,2020-06-08 17:43:30
403,T803232MRA,889,2020-02-20 14:29:15
404,X589087OSN,513,2020-12-17 19:09:11
405,Q335136OWE,376,2020-06-22 00:17:57
406,Z486504BAU,914,2020-02-05 17:57:08
407,D855775UST,526,2020-09-15 14:34:26
408,D910093YRR,291,2020-10-25 01:28:12
409,U792051TZW,452,2020-01-03 12:28:03
410,G559588KCD,633,2020-06-06 14:02:47
411,P522983ZQQ,380,2020-11-14 23:32:04
412,J395116BVO,489,2020-03-27 09:55:37
413,L685561SCO,593,2020-05-23 17:01:24
414,C918590JUO,894,2020-01-14 08:35:53
415,H609449VGQ,62,2020-05-11 01:59:01
416,T277405JNV,115,2020-07-01 05:52:30
417,Q999407OFH,484,2020-08-23 10:26:36
418,O987673FMU,370,2020-04-01 03:30:03
419,F646236GBI,388,2020-08-22 00:21:13
420,C678968RPM,255,2020-07-07 22:07:50
421,B824440QVK,847,2020-07-02 22:42:02
422,Z160564QLE,709,2020-04-13 02:58:59
423,P406622VLQ,617,2020-04-12 19:03:56
424,Z612467NYN,781,2020-12-20 11:45:36
425,Y329429TWW,534,2020-05-24 10:08:07
426,C158843XTF,761,2020-07-31 05:27:39
427,F367429LXC,944,2020-02-05 21:59:37
428,E551452IYG,417,2020-06-18 11:27:05
429,V812415TNN,854,2020-07-29 22:09:13
430,L381093MOX,837,2020-11-03 20:05:26
431,E845668XOE,319,2020-08-07 21:43:56
432,U823477CQX,894,2020-07-15 18:52:48
433,A915847RCW,577,2020-07-27 05:29:55
434,V396797YXM,573,2020-01-13 20:42:34
435,V164665JKD,452,2020-06-27 15:07:06
436,A940815FLP,815,2020-12-31 23:22:32
437,G762610ENZ,704,2020-10-15 17:39:32
438,O893425ANG,62,2020-11-26 15:58:14
439,O550128XYR,583,2020-01-13 02:05:28
440,V971945ZFF,560,2020-08-02 08:36:12
441,V293660UJD,397,2020-11-20 10:49:19
442,Q272475JWZ,151,2020-01-28 12:42:10
443,J942108AYC,577,2020-11-12 20:42:01
444,M908554CGC,603,2020-03-31 08:35:25
445,O117316DVA,881,2020-09-04 21:44:56
446,Q997091JFC,23,2020-04-03 18:58:48
447,J903617LTI,849,2020-10-25 16:56:58
448,R158436OCD,369,2020-08-10 00:49:27
449,U151353XSD,296,2020-04-29 02:31:07
450,Q290271NZF,288,2020-05-12 10:05:25
451,W934357SWY,822,2020-10-01 22:15:46
452,V518339LFK,522,2020-09-17 00:16:51
453,H772119MAA,730,2020-03-12 23:05:59
454,F451758ZCO,291,2020-08-08 15:09:36
455,B668147DBK,608,2020-03-08 10:50:18
456,P309645LCE,214,2020-04-01 20:36:40
457,E174959XKP,281,2020-07-04 14:29:55
458,L782472EDK,71,2020-11-16 11:28:46
459,J461300KPB,625,2020-12-13 15:16:58
460,Z996525GOU,992,2020-11-27 15:29:25
461,Y372659XVO,248,2020-02-14 13:47:29
462,X310379JVV,248,2020-12-15 00:33:01
463,C431508AJG,611,2020-05-29 16:02:50
464,F311292RZB,791,2020-06-06 01:30:22
465,N307459JQL,888,2020-10-24 23:29:41
466,D446350BUG,840,2020-11-02 08:38:19
467,F126859LOI,702,2020-07-02 08:00:38
468,F710378JFD,505,2020-07-31 05:42:32
469,T105814CNC,304,2020-11-11 17:20:42
470,R999980QFE,34,2020-09-25 11:15:03
471,L571007HGY,505,2020-05-04 04:20:10
472,K218231RCJ,910,2020-12-10 12:01:10
473,A988549SYW,583,2020-09-26 04:43:16
474,U725720ASZ,202,2020-01-28 15:03:47
475,Z127260ELN,465,2020-03-30 02:05:30
476,S991628GWH,677,2020-11-03 19:43:57
477,U398925VJT,581,2020-01-27 10:47:00
478,E229108VPR,58,2020-09-25 20:17:58
479,P321131JUD,915,2020-06-27 10:58:56
480,D649689FLY,603,2020-03-06 17:10:45
481,A685361TFT,808,2020-11-02 14:20:01
482,V525449RNT,280,2020-07-17 04:28:38
483,T578942UOL,771,2020-11-24 12:11:23
484,K694603AXV,413,2020-04-10 09:18:24
485,G119608KIE,652,2020-01-20 15:36:04
486,F465395UWJ,49,2020-06-21 19:23:19
487,I765601SUE,501,2020-11-17 17:00:21
488,A731551AYA,502,2020-12-24 22:43:53
489,B616379ZZB,79,2020-06-28 11:46:52
490,Q515960OCR,588,2020-06-06 04:33:37
491,W682666AFA,160,2020-10-09 07:19:48
492,Y654566TNG,442,2020-10-15 10:02:07
493,T610913DHU,395,2020-01-07 17:45:38
494,M734050ERH,482,2020-09-20 04:44:27
495,J923844UFM,327,2020-07-18 09:13:21
496,D353781JKQ,618,2020-12-26 21:50:33
497,R855835NOU,766,2020-03-15 20:45:25
498,C954079KOX,671,2020-12-15 04:09:58
499,H736555CFO,268,2020-01-10 22:05:57
500,A790637KAS,480,2020-10-05 11:22:02
501,W439275QBR,876,2020-03-28 05:24:44
502,N443811ONN,296,2020-10-03 00:39:39
503,O661534SOM,108,2020-11-18 03:08:28
504,E578743QYF,596,2020-11-02 01:18:15
505,E800288OBS,766,2020-12-05 18:20:02
506,M378972ZVZ,101,2020-10-14 13:11:48
507,Q863618GVH,695,2020-12-09 06:51:57
508,O891919GED,241,2020-07-06 03:48:52
509,N677770VWG,493,2020-03-06 19:11:05
510,K770790HTJ,880,2020-03-29 11:01:23
511,G699263DFD,773,2020-06-22 08:59:16
512,M338256DQG,552,2020-04-11 10:21:29
513,A595188YWK,950,2020-01-05 13:33:20
514,R981526NIB,491,2020-07-11 16:34:18
515,Y724406EIF,688,2020-03-25 00:36:57
516,Q170651AEI,195,2020-04-27 06:15:24
517,D241795SJI,160,2020-11-03 22:24:50
518,S767145TAP,180,2020-07-20 09:12:17
519,N784151LJB,481,2020-12-06 10:16:02
520,U413527ASF,878,2020-08-22 10:08:18
521,Z581300ZLK,268,2020-12-08 18:14:56
522,S917241UAB,349,2020-05-13 03:42:54
523,H100128RUV,571,2020-01-07 10:48:20
524,Q711687LIR,405,2020-02-13 11:11:02
525,P428142GNN,929,2020-01-24 19:22:25
526,F960157RPK,30,2020-03-18 07:13:41
527,P610486LDT,624,2020-12-02 06:21:51
528,J296891AMH,973,2020-09-10 16:29:37
529,U171123AYZ,6,2020-06-14 04:23:03
530,A752007ZLU,720,2020-04-25 00:06:47
531,E523613OHV,232,2020-08-11 16:55:09
532,A938436LER,519,2020-01-28 02:59:13
533,J755696XCY,129,2020-04-14 03:24:32
534,E823260IOH,804,2020-05-29 09:22:27
535,W113992YGL,303,2020-06-01 13:12:44
536,I454054SXJ,49,2020-03-09 03:14:00
537,K321215IFT,284,2020-07-27 05:04:19
538,G711715ITM,739,2020-05-03 12:18:21
539,P482010MIY,890,2020-07-15 23:57:47
540,F164495POQ,384,2020-03-26 22:54:49
541,H474962AQK,842,2020-03-17 20:31:48
542,O200129QIJ,186,2020-01-08 17:30:04
543,K712834JRJ,526,2020-02-01 06:38:12
544,Q946284XCP,284,2020-10-15 03:54:51
545,E453162ZWT,909,2020-09-18 11:32:00
546,D429090ENC,238,2020-02-08 23:50:12
547,N114292UZZ,572,2020-07-15 07:36:13
548,U816313DKN,884,2020-09-03 20:42:32
549,W939333SXI,820,2020-02-17 16:17:35
550,O415909URI,829,2020-06-02 20:47:22
551,V516257XUS,841,2020-03-26 11:56:54
552,T698538LOA,269,2020-06-15 16:38:39
553,K831469HNX,300,2020-11-29 06:18:37
554,P623117THI,675,2020-12-26 16:08:07
555,J182988DSP,240,2020-08-11 23:16:29
556,F935718FGP,292,2020-04-07 04:18:19
557,F643451HEC,687,2020-05-28 07:12:43
558,R789200ZAZ,827,2020-06-01 15:25:10
559,E440766NBH,50,2020-05-31 22:21:24
560,O496804FBH,377,2020-04-17 14:20:50
561,B639650JEM,683,2020-07-18 00:27:23
562,T524969DUB,749,2020-02-17 05:33:42
563,U999810IVS,748,2020-09-04 09:46:19
564,Y933286BNE,184,2020-06-29 18:42:16
565,T998151YNL,315,2020-08-07 20:14:30
566,M960204UCK,109,2020-03-04 23:39:36
567,E498266DQB,788,2020-09-12 20:58:31
568,W844824ICD,233,2020-03-14 00:00:08
569,T781036TKB,842,2020-02-17 13:43:19
570,L291324YYW,972,2020-12-05 03:12:01
571,Y505062LAL,628,2020-12-20 16:25:06
572,E892034PHN,242,2020-12-25 15:02:38
573,U533892LHU,38,2020-05-23 07:06:03
574,C195970MRR,961,2020-12-18 20:32:21
575,Z343360UGZ,590,2020-08-11 12:17:52
